company_name,high,low,last_price,prev_close,change,percent_gain
Syrma SGS,505.10,443.85,505.10,420.95,84.15,19.99
Inox Wind,161.91,137.65,158.10,134.93,23.17,17.17
Linde India,"6,661.00","5,677.00","6,374.00","5,645.90",728.10,12.9
CreditAccess Gr,"1,073.40",959.00,"1,057.95",961.00,96.95,10.09
Anant Raj,587.95,542.65,587.95,534.50,53.45,10
Netweb,"1,607.65","1,471.65","1,607.65","1,461.50",146.15,10
NMDC Steel,42.32,38.16,41.69,38.15,3.54,9.28
KPIT Tech,"1,404.90","1,223.25","1,366.85","1,259.10",107.75,8.56
Newgen Software,"1,085.60",996.00,"1,070.00",986.95,83.05,8.41
Brigade Ent,"1,207.30","1,013.00","1,098.50","1,013.90",84.60,8.34
Firstsource Sol,352.50,318.40,351.75,324.80,26.95,8.3
CG Power ,625.00,574.95,621.95,574.95,47.00,8.17
Deepak Fert,"1,217.80","1,124.90","1,210.00","1,118.70",91.30,8.16
Kaynes Tech,"5,134.00","4,591.05","5,041.10","4,661.35",379.75,8.15
Zensar Tech,852.20,786.10,848.65,786.25,62.40,7.94
Hitachi Energy,"10,700.00","9,360.05","10,380.00","9,621.75",758.25,7.88
Jindal Saw,246.50,225.00,243.70,226.05,17.65,7.81
Jindal Saw,246.50,225.00,243.70,226.05,17.65,7.81
Fortis Health,627.25,578.65,625.70,581.20,44.50,7.66
TVS Motor,"2,539.20","2,356.80","2,499.15","2,335.80",163.35,6.99
Jyoti CNC Auto,"1,067.60",992.10,"1,053.50",988.25,65.25,6.6
Indian Bank,551.20,510.55,544.40,514.15,30.25,5.88
IEX,178.96,167.30,176.87,167.21,9.66,5.78
Aegis Logistics,686.90,625.50,671.70,635.85,35.85,5.64
Cera Sanitary,"6,587.00","6,220.00","6,517.00","6,180.25",336.75,5.45
Schneider Infra,707.40,611.20,661.05,626.95,34.10,5.44
Kirloskar Oil,895.10,848.30,889.90,844.45,45.45,5.38
Avanti Feeds,707.95,651.30,695.40,659.95,35.45,5.37
Laurus Labs,539.50,511.80,538.20,510.75,27.45,5.37
NCC,240.65,227.40,236.70,225.10,11.60,5.15
Navin Fluorine,"3,774.80","3,502.00","3,744.85","3,562.35",182.50,5.12
Jubilant Pharmo,941.95,865.85,927.00,881.95,45.05,5.11
Zomato,218.75,210.20,218.75,208.20,10.55,5.07
BHEL,197.88,184.14,197.12,187.62,9.50,5.06
Usha Martin,355.95,329.60,347.90,331.20,16.70,5.04
Godawari Power,177.10,165.52,176.30,167.87,8.43,5.02
Godawari Power,177.10,165.52,176.30,167.87,8.43,5.02
Godrej Ind,883.05,836.80,875.70,834.00,41.70,5
Suzlon Energy,52.77,52.77,52.77,50.26,2.51,4.99
Chalet Hotels,767.95,731.20,767.00,730.70,36.30,4.97
Techno Electric,"1,095.10","1,030.00","1,082.05","1,030.95",51.10,4.96
Shree Renuka,38.39,36.12,37.58,35.81,1.77,4.94
Chola Invest.,"1,304.50","1,230.05","1,302.40","1,241.70",60.70,4.89
Elecon Eng,549.25,514.80,544.15,519.00,25.15,4.85
Elecon Eng,549.25,514.80,544.15,519.00,25.15,4.85
Lemon Tree,137.36,131.00,136.96,130.65,6.31,4.83
eClerx Services,"3,126.00","2,974.95","3,119.95","2,980.85",139.10,4.67
BASF,"4,737.00","4,500.00","4,735.95","4,527.00",208.95,4.62
Chola Fin Hold,"1,497.85","1,423.85","1,497.85","1,432.25",65.60,4.58
HBL Eng,542.15,516.45,536.00,512.60,23.40,4.56
Archean Chem,547.00,525.00,545.90,522.45,23.45,4.49
Persistent,"6,259.85","5,970.00","6,174.20","5,910.30",263.90,4.47
Persistent,"6,259.85","5,970.00","6,174.20","5,910.30",263.90,4.47
Ujjivan Small,33.80,31.74,33.40,31.98,1.42,4.44
Gujarat Pipavav,149.33,142.62,148.90,142.64,6.26,4.39
Railtel,370.80,352.50,366.40,351.40,15.00,4.27
LTIMindtree,"5,913.55","5,674.95","5,905.15","5,665.40",239.75,4.23
CHEMPLAST SANMA,473.80,444.65,470.45,451.40,19.05,4.22
Metropolis,"1,787.95","1,702.20","1,780.85","1,708.90",71.95,4.21
Cyient,"1,374.80","1,308.05","1,372.50","1,317.25",55.25,4.19
Coromandel Int,"1,796.00","1,705.00","1,784.85","1,713.45",71.40,4.17
Vijaya Diagnost,992.65,917.05,969.80,931.20,38.60,4.15
Manappuram Fin,201.40,191.31,198.84,190.98,7.86,4.12
Godrej Agrovet,736.70,696.00,722.85,694.30,28.55,4.11
Cummins,"2,866.20","2,741.10","2,852.00","2,739.60",112.40,4.1
KSB Pumps,678.60,647.95,676.30,649.80,26.50,4.08
